index_MFF start 	 end 	 duration	 mean	 std	 residue	 prompt_rate
62	737	744	8	-2.911	0.05446	0.023727	166696.5	
63	745	745	1	-3.1621	0	0	166816	
64	746	746	1	-3.395	0	0	166542	
65	747	752	6	-3.1286	0.037237	0.0083197	165679.6667	
66	753	820	68	-3.0188	0.052163	0.18503	167841.3382	
67	821	825	5	-2.8808	0.069451	0.024117	168925.4	
68	826	890	65	-2.97	0.055414	0.19959	169338.5692	
69	891	931	41	-3.0474	0.059353	0.14443	170846.9024	
70	932	933	2	-3.2264	0.0028404	1.6136e-05	171949	
71	934	948	15	-3.09	0.060667	0.055207	172152.4667	
72	949	1081	133	-3.0378	0.054751	0.39869	173223.4511	
73	1082	1101	20	-2.9779	0.051841	0.053751	174716.75	
74	1102	1105	4	-3.2092	0.090254	0.032583	175320.75	
75	1106	1112	7	-3.0598	0.044702	0.013988	175133.7143	
76	1113	1119	7	-2.962	0.046196	0.014939	174866.2857	
77	1120	1122	3	-2.8306	0.037381	0.0041919	175057	
78	1123	1159	37	-2.9742	0.053822	0.10718	176469.3784	
79	1160	1166	7	-3.0687	0.068505	0.032851	176417.4286	
80	1167	1170	4	-3.2283	0.068031	0.018513	176719.25	
81	1171	1271	101	-3.0261	0.062358	0.39274	177402.4158	
82	1272	1276	5	-3.1725	0.061085	0.018657	178208.6	
83	1277	1364	88	-3.0987	0.069233	0.4218	178765.7727	
84	1365	1367	3	-2.9762	0.033337	0.003334	179823.3333	
85	1368	1369	2	-3.218	0.058558	0.0068582	179221	
86	1370	1425	56	-3.0671	0.064076	0.22992	179619.4464	
87	1426	1427	2	-2.95	0.10584	0.022405	179892	
88	1428	1433	6	-3.1903	0.037754	0.0085524	180371.5	
89	1434	1626	193	-3.115	0.061293	0.72506	180443.1969	
90	1627	1634	8	-3.1973	0.057358	0.026319	179974.125	
91	1635	1680	46	-3.298	0.056575	0.14723	180331.3478	
92	1681	1687	7	-3.2225	0.041264	0.011919	180269.1429	
93	1688	1693	6	-3.3807	0.069261	0.028782	180969.1667	
94	1694	1721	28	-3.2604	0.062053	0.10782	180510.6786	
95	1722	1740	19	-3.3207	0.057362	0.062517	180550.7368	
96	1741	1791	51	-3.2642	0.057276	0.16731	180790.1569	
97	1792	1795	4	-3.4201	0.021927	0.0019232	180944	
98	1796	1798	3	-3.2637	0.046921	0.0066048	180140	
99	1799	1799	1	-3.5704	0	0	180667	
100	1800	1857	58	-3.27	0.059815	0.20751	180933.8103	
